taxonomy_row,requirement_id,requirement_name,subrequirement_id,subrequirement_name,definition,inputs,outputs,boundary,source_work_object
2,req_001,文献调研,sub_002,制定文献调研协议,规定文献调研的范围、来源、筛选标准、质量标准、证据字段和停止条件。,初始研究问题、调研目标、范围约束、可用来源、资源与质量要求,可执行的文献调研协议；验收要点：明确检索范围、纳入排除标准、质量标准、提取字段、冲突处理规则和停止条件。,不实际检索、筛选或评价文献，不定义最终研究问题。,研究方案
3,req_001,文献调研,sub_003,设计文献检索策略,将调研目标转换为数据库、关键词、同义词、查询式、时间范围和补充追溯路径。,文献调研协议、研究问题、核心概念、来源能力和查询限制,可执行且可复核的检索策略；验收要点：记录来源、查询式、过滤条件、时间范围、追溯方式和调整规则。,不执行检索，不判断检索结果是否应被纳入。,研究方案
4,req_001,文献调研,sub_004,检索相关文献,使用明确的检索条件找到与研究问题相关的可访问文献。,检索目标、检索范围、查询条件和允许使用的来源,候选外部证据清单，以及每项候选的位置、标识和来源记录；验收要点：文献真实存在、元数据可核验，并满足给定主题、时间或来源条件。,不评价或推荐文献。,文献与外部证据
5,req_001,文献调研,sub_005,追溯关联文献,根据已知文献的引用、被引、作者或主题关系发现补充候选文献。,种子文献、追溯方向、关联条件、允许来源和停止条件,关联候选文献清单及其与种子文献的关系记录；验收要点：每项候选均保留发现路径、文献标识和来源。,不判断关联文献是否最终纳入，不替代预定的系统检索。,文献与外部证据
6,req_001,文献调研,sub_006,核验文献引用信息,核对作者、题名、年份、出版来源和标识符等引用元数据。,待核验引用信息、文献标识、核验标准、目标范围和可信元数据来源,引用信息的成立判断、差异清单和可追溯证据；验收要点：引用信息与出版方或可信索引记录一致，文献标识符可解析。,不评价文献内容质量。,文献与外部证据
7,req_001,文献调研,sub_007,分类文献,按照问题、方法、数据、场景或证据类型等明确维度组织已纳入文献。,已纳入文献、分类目的、分类维度和分类规则,文献分类结果、多标签关系和无法分类项；验收要点：每项分类均可由规则解释，分类结果保留文献标识。,不评价类别优劣，不由分类结果直接推导研究结论。,文献与外部证据
8,req_001,文献调研,sub_008,选择核心文献,根据相关性、质量、代表性和证据直接性，从已纳入文献中确定优先分析的核心文献。,已纳入文献、文献质量结果、相关性标准、代表性标准和选择目的,核心文献清单、优先级和选择依据；验收要点：每项选择均引用明确标准，并保留非核心文献状态。,不把非核心文献视为无效文献，不决定本研究最终选择哪个研究空白。,文献与外部证据
9,req_001,文献调研,sub_009,提取文献要点,从单篇文献中提取与研究问题相关的方法、设置、结果和限制。,可读取的文献全文、关注问题和提取范围,带原文位置的方法、设置、结果和限制要点；验收要点：每项要点能够回溯到页码、章节、图表或段落。,只处理单项来源，不综合多篇文献也不判断真实性。,文献与外部证据
10,req_001,文献调研,sub_010,核验文献内容,回到文献原文核对其研究结论和实验设置是否被准确转述。,待核验命题、核验标准、目标范围和可追溯证据,关于外部证据命题的成立判断、差异清单和可追溯证据；验收要点：被核验表述有原文位置，且结论方向、条件和实验设置与原文一致。,不检查参考文献格式。,文献与外部证据
11,req_001,文献调研,sub_011,评估文献质量,依据来源、研究设计、样本、方法和证据完整性评估文献质量。,文献全文、质量评估标准和来源元数据,文献质量等级或分项判断、依据和主要限制；验收要点：判断覆盖来源、设计、样本、方法、偏倚风险和证据完整性。,不核对单个转述是否与原文一致，不综合多来源结论。,文献与外部证据
12,req_001,文献调研,sub_012,建立证据追溯关系,建立文献主张、提取记录、来源文献和原文位置之间的可追溯映射。,文献标识、提取记录、外部主张、原文位置和引用规则,证据追溯表以及缺失、断链和冲突记录；验收要点：每项综合证据均能定位到具体来源和原文位置。,不生成新的实质性研究结论，不替代文献内容核验。,文献与外部证据
13,req_001,文献调研,sub_013,综合外部证据,比较多篇文献的问题、方法和结论，形成有来源支持的综合认识。,多个来源或结果、共同问题、来源质量和冲突处理规则,区分一致、冲突和证据不足的外部证据综合结论及来源关系；验收要点：综合结论至少关联两项独立来源，并区分一致、冲突和证据不足之处。,不负责提出新的研究空白。,文献与外部证据
14,req_001,文献调研,sub_014,识别研究空白,基于已综合的文献证据，指出尚未解决、验证不足或条件覆盖不足的问题。,已综合的外部证据、空白识别标准、覆盖维度、目标范围和必要上下文,研究空白、现有覆盖边界、影响范围及判断证据；验收要点：每项空白均能回溯到明确覆盖边界、证据不足或相互矛盾的证据。,不将一般差异、低关注度或单纯缺少关键词直接视为空白，不决定本研究选择哪个空白。,科学问题
15,req_001,文献调研,sub_015,修订研究问题,依据澄清结果和研究证据调整研究问题的范围、对象或措辞，同时保持研究意图可追踪。,已有研究问题、文献调研结论、变更请求、影响范围和保持条件,满足变更要求且未破坏保持条件的新版研究问题；验收要点：修订前后差异明确，修订后的问题可研究且未引入未经确认的新目标。,仅依据调研证据提出或实施问题修订，不包含回答问题的具体方法和实施步骤。,科学问题
